fold,participant,windows,mae,rmse,corr
1,003df5deff30e1e5a07b5d063fe85c3f,5,1.7367982683442449,2.111452382191843,0.7877139737579801
2,0107c61e54459068bb83f6be2058d65d,10,4.681609228034374,5.587121724536438,0.6005700653640521
3,031cf9537e5da78c5a69a10cba088c94,4,4.612059905583759,4.66186027557568,0.7719746396640826
4,03a0ce5623bfeb8aa3113605f7682215,4,3.5707140450164756,4.11935569498898,0.4166237395485143
5,07eab8e219b6a4dcd45167dc216e1189,2,3.2254980628851118,3.5032632134978736,1.0
6,0947cdc8e87a0a45a012aa387ccedbcd,10,2.862307622522958,3.5025068358577394,0.826608159875777
7,0ab7acb36e6c710a7733c1c24e566bb3,13,4.019610413445256,5.3007211508835015,0.31940794079339246
8,0aee9faa6f2d2d24d85d2690f5b2df25,4,3.1385275529309222,3.885228392940756,0.8942942567319253
9,0b9c2303bcc61063f9a5653d77c90501,1,0.12943727297717983,0.12943727297717983,nan
10,0ba15aa0582c5e825710d42fe3eb231d,18,4.08307070803318,4.689388130071571,0.37644801506556064
11,0f2be96bde481cd3898f147a995a7d56,3,5.747101826773388,6.9118411736664855,0.6878104601388685
12,0f727c1018c74fbb7142e8c7a77840d6,8,3.610560607449958,3.9864221395534143,0.5190462760147062
13,107c06248d28377b345ae06e5bda10c1,4,3.277924647954509,4.374907017605597,-0.4362748952717473
14,12e0a85ee9819ae1abeca0ccfaa52d13,4,6.0366249634880615,6.211763729309964,0.9578849487116718
15,12f90c19f2c2b74ec542b62e74e7cad1,16,4.286039247690881,5.066066531453885,0.701661284630526
16,13789d5f8a59f1e347e42b99233530d6,10,2.8077604401775553,4.050913800631312,0.49324331930224713
17,1618e7f7049efc1a0fbe48af6fda8e57,11,4.255908260638809,5.2198079777073945,0.08090323743774376
18,165970c3847523de7691ef9766b0f3f4,5,3.97965146737127,5.192560272964864,0.7834620023043447
19,169d3212668c4eed434dafd32e33c946,17,3.9387265653528707,4.502982238429746,0.6640233806551622
20,1741432fb469dbbcd5a40599670c64ce,6,2.788442213555823,3.724835732874641,0.8801472043778846
21,17fb1517cc9d7e416782bffb8edd9070,4,4.186029080757753,4.7346551582288265,0.21690471972221076
22,1893420fc2b045e14ef0112c1b079afe,3,3.910107568662444,4.617937234901011,-0.3635858474880567
23,1c12f39481a6c09da17bd4e6bebed9a2,1,1.1059805888014238,1.1059805888014238,nan
24,1d0fa4dfa0545bedeaa6045c70b6d19c,9,4.234928647912967,5.167266739064888,0.7716362685701424
25,1d2263527eed2a54e88d340fb8e55308,20,1.1769123807763662,2.139665162531845,0.2362690079944355
26,1df93e607e693903c6fce6054a0a67c5,8,4.476768638983278,4.842082950959035,0.6274291036966865
