fold,participant,windows,mae,rmse,corr
36,2cc3f6274987ee627ab9be37181536eb,18,4.7767784250011225,7.312894494032849,0.43901031761736636
37,2d06da49889845dc3af964bafb630b0a,5,6.047517402422569,6.438148580772439,0.7021976954933175
38,2d5d41b5e9a9a5bb7007264230e4c575,5,6.161208127543619,6.832608709809103,-0.04270717015709467
39,2de8db6af975b72ac70440ede29e1cfb,5,6.2087686307666745,6.854301350811642,0.6091617360075572
40,2f706716305bceab3969e0f457da16b4,7,4.476894560344612,5.2131311874792345,0.5127931523131285
41,30b497738f121ad199afb509889f6cfe,6,1.9832448519754322,2.764784951344427,0.7567390390689467
42,34ed21e64b190dc037d35ef7f646feb8,7,3.6763763065299035,4.338799975580372,0.4059463659937286
43,3528757eaf1d15ee6c778eb79cd02de7,8,3.631233479967671,4.078829311675618,0.6440749602153791
44,3569e2f520db9014b4acc4227a6421c1,18,3.870834560571218,4.449580182246269,0.4067305876028958
45,35cf1abf179310dc33907d953f590366,21,3.2249352504071216,3.754373088975561,0.6056216115313116
46,3bb377ba0acb7d8916010184df36aa57,12,2.795107240819123,3.2318707847053174,0.6051370273104396
47,3d1a8b919f65dd22f661468f79b9b107,2,1.4499561960707088,1.7323970987976867,-0.9999999999999999
48,3dad5f11680b432159b65838119ab87e,7,1.3544330746978155,2.2537929418958202,0.801853276131817
49,3e7ca3545ad22d036db36c4f1e9f2e18,6,5.834977914080077,6.046885729658772,0.92587948180458
50,4005a296ac7cd078b8bd56f0b905b7a6,7,3.4074310891960002,4.513874363902248,0.3315852511308393
51,422875809be551a4ec179466aa8300ba,13,2.77627229954457,3.474217932685311,0.5992572829573347
52,429cf5f822600da91a6f4227c0af86c6,4,7.134157299821693,8.307380826207051,0.9872608916335852
53,45555d3305e255895b11695c179a98cd,3,1.7581280746915422,2.1499978568099194,0.9604503856139446
54,46562035189535f838d640973dbb222e,27,3.512679595664798,4.135467451116994,0.5437369545213677
55,46b53cdf4d639d54e894d92b6dff817f,50,3.671152160423135,4.567316645241682,0.591539740124158
56,46f1dfeda71a865074859c81bb314fd9,1,5.236759657351831,5.236759657351831,nan
57,480fca3c0b19afab1093cf2f01d63317,8,4.195811980602002,4.437325878820357,0.904079656780241
